index,Crop,Disease
0,Apple,Apple scab
1,Apple,Black rot
2,Apple,Cedar rust
3,Apple,healthy
4,Blueberry,healthy
5,Cherry,healthy
6,Cherry,Powdery mildew
7,Corn(maize),Cercospora leaf spot
8,Corn(maize),Common rust
9,Corn(maize),healthy
10,Corn(maize),Northern Leaf Blight
11,Grape,Black rot
12,Grape,Black Measles
13,Grape,healthy
14,Grape,Leafblight(Isariopsis Leaf Spot)
15,Orange,Haunglongbing(Citrus greening)
16,Peach,Bacterial spot
17,Peach,healthy
18,Bell Pepper,Bacterial spot
19,Bell Pepper,healthy
20,Potato,Early blight
21,Potato,healthy
22,Potato,Late blight
23,Raspberry,healthy
24,Soybean,healthy
25,Squash,Powdery mildew
26,Strawberry,healthy
27,Strawberry,Leaf scorch
28,Tomato,Bacterial spot
29,Tomato,Early blight
30,Tomato,healthy
31,Tomato,Late blight
32,Tomato,Leaf Mold
33,Tomato,Septoria leaf spot
34,Tomato,Spider mites
35,Tomato,Target Spot
36,Tomato,Tomato mosaic virus
37,Tomato,Tomato Yellow Leaf Curl Virus
